clip_idx,within_clip_rho,accessibility_gap,description_gain,alignment_cosine
0,0.316227766016838,0.16836341087619067,-0.17060595919423194,0.9955404388069582
1,1.0,0.08463107648035506,-0.1852921302406726,0.9002979938310343
3,1.0,0.09844685606074888,-0.12907377515885177,0.9640192480894442
4,1.0,0.2986524298433463,-0.13870976286210657,0.9932085395363259
5,1.0,0.15166239091569766,-0.15426213447196913,0.9840319747479354
6,1.0,0.15769971883021694,-0.353919165406309,0.9999999999974346
7,1.0,0.1831457757375946,-0.23516921419147596,0.9970966618715914
8,1.0,0.1798257689921754,-0.17446029667303486,0.9784949764418776
9,1.0,0.17728451159853975,-0.5190908440372033,0.0
11,1.0,0.10972697491725192,-0.4428179301693753,0.9010932522109787
12,0.7999999999999999,0.2719454709480146,-0.07203530430871374,0.9970966668619787
13,1.0,0.09130382412366711,-0.3302402518747758,0.9974270853414056
14,0.7999999999999999,0.3433712825438816,-0.38504831692161484,0.9999999999965444
15,1.0,0.19226284953845307,-0.5518449171324935,0.0
16,1.0,0.1540310432853198,-0.26891422567072076,0.9999999999970711
17,1.0,0.12337978782273751,-0.20362789203162757,0.9920502516547521
18,1.0,0.14019508205815057,-0.01802134102727615,0.9634328062314222
19,1.0,0.12573551572242592,-0.5164259212963715,0.9886151827484192
