video_id,tier,gt,clip_top3,clip_mean,tribe_need_weighted
0m0-Q0zz_-c_000112_000122,tier0_cross,0,0.057718198746442795,0.04744686558842659,0.04572799417758131
0m0-Q0zz_-c_000112_000122,tier1_vatex_short,1,0.33532893657684326,0.3243207335472107,0.3218849053181217
0m0-Q0zz_-c_000112_000122,tier2_vatex_long,2,0.3254968225955963,0.3021059036254883,0.31296066753180174
0m0-Q0zz_-c_000112_000122,tier3_va11y,3,0.3274957835674286,0.31277719140052795,0.31429243298698245
0t0DB1B1w8Y_000000_000010,tier0_cross,0,0.13623087108135223,0.09850208461284637,0.09568211205284187
0t0DB1B1w8Y_000000_000010,tier1_vatex_short,1,0.2762313783168793,0.260483980178833,0.25504679114604945
0t0DB1B1w8Y_000000_000010,tier2_vatex_long,2,0.3349498510360718,0.3217253088951111,0.3164342659912683
0t0DB1B1w8Y_000000_000010,tier3_va11y,3,0.3090900778770447,0.2889859080314636,0.28237828695599565
1-jIze6gy0g_000026_000036,tier0_cross,0,0.014468078501522541,0.004141738638281822,-0.0006005163833139765
1-jIze6gy0g_000026_000036,tier1_vatex_short,1,0.24531759321689606,0.23144209384918213,0.23310789539588456
1-jIze6gy0g_000026_000036,tier2_vatex_long,2,0.2408149093389511,0.22439903020858765,0.23293667673397708
1-jIze6gy0g_000026_000036,tier3_va11y,3,0.2788960039615631,0.2615104913711548,0.2699084318254149
1HUWWCLza0w_000000_000010,tier0_cross,0,0.07526727765798569,0.05399245023727417,0.05152401654642645
1HUWWCLza0w_000000_000010,tier1_vatex_short,1,0.31588998436927795,0.2988037168979645,0.2975365648063913
1HUWWCLza0w_000000_000010,tier2_vatex_long,2,0.3060896694660187,0.2870061993598938,0.2904664771396762
1HUWWCLza0w_000000_000010,tier3_va11y,3,0.31192538142204285,0.27454662322998047,0.28594463293584166
1YemrpNBpf4_000001_000011,tier0_cross,0,0.06358980387449265,0.042920034378767014,0.0423237637817421
1YemrpNBpf4_000001_000011,tier1_vatex_short,1,0.4216286242008209,0.38931703567504883,0.3920458317280626
1YemrpNBpf4_000001_000011,tier2_vatex_long,2,0.2867230474948883,0.2660940885543823,0.27003527019301266
1YemrpNBpf4_000001_000011,tier3_va11y,3,0.3632163107395172,0.34245458245277405,0.3411053217586025
1kLhK8KfIEw_000020_000030,tier0_cross,0,0.0590171180665493,0.04315242916345596,0.0407443463474539
1kLhK8KfIEw_000020_000030,tier1_vatex_short,1,0.17990176379680634,0.1568346619606018,0.16607358698184568
1kLhK8KfIEw_000020_000030,tier2_vatex_long,2,0.26306959986686707,0.22319629788398743,0.2375641061875482
1kLhK8KfIEw_000020_000030,tier3_va11y,3,0.26750412583351135,0.23766636848449707,0.2507399511539905
21T1JDdJgsM_000047_000057,tier0_cross,0,0.0676446259021759,0.024502819404006004,0.0287856294217022
21T1JDdJgsM_000047_000057,tier1_vatex_short,1,0.3301025331020355,0.27261626720428467,0.2785525631716568
21T1JDdJgsM_000047_000057,tier2_vatex_long,2,0.3231130540370941,0.2925170063972473,0.29459757334400494
21T1JDdJgsM_000047_000057,tier3_va11y,3,0.30826887488365173,0.2821001708507538,0.2853414360677188
2kJxrcNRS9w_000047_000057,tier0_cross,0,0.09313702583312988,0.06419108808040619,0.053092407654061285
2kJxrcNRS9w_000047_000057,tier1_vatex_short,1,0.2692711055278778,0.2156403362751007,0.1965983631053593
2kJxrcNRS9w_000047_000057,tier2_vatex_long,2,0.2495817393064499,0.19871076941490173,0.17623170384315828
2kJxrcNRS9w_000047_000057,tier3_va11y,3,0.2808333933353424,0.24107766151428223,0.22597681288800453
3su234u58DA_000172_000182,tier0_cross,0,0.12129604816436768,0.0869085043668747,0.08922027038613183
