video_id,tribe_vs_pro,vlm_vs_pro,uniform_vs_pro,tribe_top,vlm_top,pro_top
0m0-Q0zz_-c_000112_000122,0.12226412019764463,0.1442066516358543,0.5870480433005522,visual_form,motion_action,face_character
0t0DB1B1w8Y_000000_000010,0.28969531423888156,0.36727525077063256,0.6213664412288606,visual_form,motion_action,face_character
1-jIze6gy0g_000026_000036,0.7148856785488366,0.21081851023344753,0.4472135944999579,visual_form,object_body,visual_form
1HUWWCLza0w_000000_000010,0.12404059412844327,0.415840073267765,0.5757663131917008,visual_form,motion_action,face_character
1YemrpNBpf4_000001_000011,0.15131794462414563,0.5630522729761613,0.5423261430760522,visual_form,motion_action,face_character
1kLhK8KfIEw_000020_000030,0.4005239797966361,0.6745785177367245,0.745355989722152,scene_spatial,motion_action,motion_action
21T1JDdJgsM_000047_000057,0.05423475559405882,0.47434164767525694,0.5999999982,visual_form,motion_action,face_character
2kJxrcNRS9w_000047_000057,0.4498745778326984,0.5212860334035565,0.7302967406735549,visual_form,motion_action,face_character
3su234u58DA_000172_000182,0.6156888103246323,0.6537607305701529,0.9127271544870724,scene_spatial,object_body,face_character
3ufJNSez5Is_000008_000018,0.26973025524001915,0.465862643149989,0.6324555300336758,scene_spatial,object_body,face_character
750QhTe9Z4U_000000_000010,0.14055098591919327,0.5309907890115044,0.5309907890115044,scene_spatial,motion_action,face_character
8vkNr_eysXY_000002_000012,0.3516037084270618,0.5954955961401891,0.8209051984160602,scene_spatial,motion_action,face_character
9eBhetL8n5Q_000222_000232,0.14044918300867873,0.6344622686184674,0.6587095735046029,scene_spatial,object_body,face_character
9fuIpQgnNEQ_000049_000059,0.3469315039995029,0.16666666622222223,0.7302967406735549,scene_spatial,motion_action,face_character
A0e7Z55s8pE_000008_000018,0.7140848186950183,0.7429959485202996,0.8687444817525538,scene_spatial,motion_action,scene_spatial
AEkLDauJVi0_000069_000079,0.822374929626477,0.5338631472574776,0.7302967406735549,scene_spatial,object_body,scene_spatial
BHxn3qfPAl4_000018_000028,0.1789349462073163,0.6731906536867855,0.5872202177905654,scene_spatial,motion_action,face_character
BcW6Y7eufQE_000239_000249,0.11508068306543663,0.5940885244918869,0.4472135944999579,visual_form,face_character,face_character
Bss3WwpDdS8_000041_000051,0.36897537121580826,0.8590625958161987,0.7478123406235905,scene_spatial,face_character,face_character
Ccgwurislg8_000082_000092,0.7277393494100004,0.6155870093563555,0.6324555300336757,scene_spatial,motion_action,scene_spatial
D297atE3gag_000203_000213,0.34675227890832944,0.40329964226579107,0.6942101320909846,scene_spatial,motion_action,face_character
