video_id,q_idx,condition,score,matched,tribe_type,vlm_type
0t0DB1B1w8Y_000000_000010,0,baseline,1.0,0,scene_spatial,motion_action
0t0DB1B1w8Y_000000_000010,1,baseline,0.5,1,scene_spatial,motion_action
0t0DB1B1w8Y_000000_000010,2,baseline,0.5,0,scene_spatial,motion_action
0t0DB1B1w8Y_000000_000010,3,baseline,0.5,0,scene_spatial,motion_action
0t0DB1B1w8Y_000000_000010,4,baseline,1.0,0,scene_spatial,motion_action
0t0DB1B1w8Y_000000_000010,0,vlm,1.0,0,scene_spatial,motion_action
0t0DB1B1w8Y_000000_000010,1,vlm,0.0,1,scene_spatial,motion_action
0t0DB1B1w8Y_000000_000010,2,vlm,0.5,0,scene_spatial,motion_action
0t0DB1B1w8Y_000000_000010,3,vlm,0.5,0,scene_spatial,motion_action
0t0DB1B1w8Y_000000_000010,4,vlm,1.0,0,scene_spatial,motion_action
0t0DB1B1w8Y_000000_000010,0,tribe,1.0,0,scene_spatial,motion_action
0t0DB1B1w8Y_000000_000010,1,tribe,0.5,1,scene_spatial,motion_action
0t0DB1B1w8Y_000000_000010,2,tribe,0.5,0,scene_spatial,motion_action
0t0DB1B1w8Y_000000_000010,3,tribe,0.5,0,scene_spatial,motion_action
0t0DB1B1w8Y_000000_000010,4,tribe,1.0,0,scene_spatial,motion_action
1-jIze6gy0g_000026_000036,0,vlm,0.0,0,scene_spatial,motion_action
1-jIze6gy0g_000026_000036,1,vlm,0.0,1,scene_spatial,motion_action
1-jIze6gy0g_000026_000036,2,vlm,0.0,0,scene_spatial,motion_action
1-jIze6gy0g_000026_000036,3,vlm,0.0,0,scene_spatial,motion_action
1-jIze6gy0g_000026_000036,4,vlm,0.0,0,scene_spatial,motion_action
1-jIze6gy0g_000026_000036,0,tribe,0.0,0,scene_spatial,motion_action
1-jIze6gy0g_000026_000036,1,tribe,0.0,1,scene_spatial,motion_action
1-jIze6gy0g_000026_000036,2,tribe,0.0,0,scene_spatial,motion_action
1-jIze6gy0g_000026_000036,3,tribe,0.0,0,scene_spatial,motion_action
1-jIze6gy0g_000026_000036,4,tribe,0.0,0,scene_spatial,motion_action
1-jIze6gy0g_000026_000036,0,baseline,0.0,0,scene_spatial,motion_action
1-jIze6gy0g_000026_000036,1,baseline,0.0,1,scene_spatial,motion_action
1-jIze6gy0g_000026_000036,2,baseline,0.0,0,scene_spatial,motion_action
1-jIze6gy0g_000026_000036,3,baseline,0.0,0,scene_spatial,motion_action
1-jIze6gy0g_000026_000036,4,baseline,0.0,0,scene_spatial,motion_action
3su234u58DA_000172_000182,0,baseline,0.5,0,scene_spatial,scene_spatial
3su234u58DA_000172_000182,1,baseline,0.5,1,scene_spatial,scene_spatial
3su234u58DA_000172_000182,2,baseline,0.5,0,scene_spatial,scene_spatial
3su234u58DA_000172_000182,3,baseline,0.0,0,scene_spatial,scene_spatial
3su234u58DA_000172_000182,4,baseline,1.0,0,scene_spatial,scene_spatial
3su234u58DA_000172_000182,0,tribe,1.0,0,scene_spatial,scene_spatial
3su234u58DA_000172_000182,1,tribe,0.5,1,scene_spatial,scene_spatial
3su234u58DA_000172_000182,2,tribe,0.5,0,scene_spatial,scene_spatial
