video_id,category,target,pro_margin,score_col,mean_need,max_need,mean_speech_density,mean_standard_slot_score,slot_frac,need_z,speech_z,slot_z,social_scene,proxy_collision,social_collision_boundary,social_need_boundary,social_only,slotable_inverse
0m0-Q0zz_-c_000112_000122,How-to & Instructional,1,-0.007833153009414617,clip_top3,0.3159328276004982,1.0,0.4546201798201799,0.24374783957763688,0.5,0.05180697965112251,0.4546201798201799,0.31316000862419785,0.0,0.023552498404933717,0.023552498404933717,0.05180697965112251,0.0,0.6868399913758021
0t0DB1B1w8Y_000000_000010,Sports,1,-0.0258597731590271,clip_top3,0.7125746725851547,1.0,0.9364039781874176,0.012942252769236625,0.0,0.9606165393514681,0.9364039781874176,0.016627823228520383,0.0,0.8995251489613447,0.8995251489613447,0.9606165393514681,0.0,0.9833721767714796
1-jIze6gy0g_000026_000036,How-to & Instructional,0,0.03357841074466711,clip_top3,0.4069432482703107,1.0,1.0,0.0,0.0,0.26033550830466157,1.0,0.0,0.0,0.26033550830466157,0.26033550830466157,0.26033550830466157,0.0,1.0
1HUWWCLza0w_000000_000010,Sports,1,-0.003964602947235107,clip_top3,0.508578219056454,1.0,0.7790935802469136,0.09426314119343242,0.25,0.49320764274596185,0.7790935802469136,0.12110649333438275,0.0,0.3842549081920921,0.3842549081920921,0.49320764274596185,0.0,0.8788935066656173
1YemrpNBpf4_000001_000011,Entertainment,1,-0.05841231346130371,clip_top3,0.6072253087143515,1.0,0.5609116000000001,0.3700661146394458,0.5,0.7192337649297734,0.5609116000000001,0.4754499890248249,1.0,0.40342656186078313,1.403426561860783,1.7192337649297733,1.0,0.5245500109751751
1kLhK8KfIEw_000020_000030,How-to & Instructional,0,0.004434525966644287,clip_top3,0.6001382590721099,1.0,0.12949180714705888,0.6318768500115248,0.875,0.7029954921746907,0.12949180714705888,0.8118166714499768,0.0,0.0910321566979368,0.0910321566979368,0.7029954921746907,0.0,0.18818332855002318
21T1JDdJgsM_000047_000057,Entertainment,1,-0.021833658218383845,clip_top3,0.5247901141021423,1.0,1.0,0.0,0.0,0.5303533079970656,1.0,0.0,1.0,0.5303533079970656,1.5303533079970655,1.5303533079970655,1.0,1.0
2kJxrcNRS9w_000047_000057,Sports,0,0.0115622878074646,clip_top3,0.4849893798995545,1.0,1.0,0.0,0.0,0.43915948116368264,1.0,0.0,0.0,0.43915948116368264,0.43915948116368264,0.43915948116368264,0.0,1.0
3su234u58DA_000172_000182,Entertainment,1,-0.02434670925140381,clip_top3,0.729763233518278,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,1.0,1.0
3ufJNSez5Is_000008_000018,How-to & Instructional,1,-0.02140092849731451,clip_top3,0.6648766491650893,1.0,0.9589456,0.02598573351348604,0.125,0.8513279703033806,0.9589456,0.03338570116268634,0.0,0.8163772112793575,0.8163772112793575,0.8513279703033806,0.0,0.9666142988373136
