clip_idx,t,start_s,end_s,cosine_gap,residual_norm,need_score,speech_density,standard_slot_score,extended_need_score
0,0,0.0,1.49,0.41616564989089966,9.583044,0.649717777967453,1.0,0.0,0.649717777967453
0,1,1.49,2.98,0.22352242469787598,7.4694457,0.29435254601715355,1.0,0.0,0.29435254601715355
0,2,2.98,4.47,0.1992027759552002,8.534648,0.30701583040240543,1.0,0.0,0.30701583040240543
0,3,4.47,5.96,0.08663672208786011,6.1162524,0.048262102172298746,1.0,0.0,0.048262102172298746
0,4,5.96,7.45,0.12572020292282104,8.312193,0.19667453677052527,1.0,0.0,0.19667453677052527
0,5,7.45,8.94,0.14451634883880615,10.616647,0.32196216439565695,1.0,0.0,0.32196216439565695
0,6,8.94,10.43,0.2097904086112976,15.143623,0.606946941653911,1.0,0.0,0.606946941653911
0,7,10.43,11.92,0.17932480573654175,15.056385,0.5614153867568921,1.0,0.0,0.5614153867568921
0,8,11.92,13.41,0.25616830587387085,17.694008,0.7806661031972639,1.0,0.0,0.7806661031972639
0,9,13.41,14.9,0.05143100023269653,8.824296,0.11695028841495514,1.0,0.0,0.11695028841495514
1,0,0.0,1.49,0.2852247953414917,11.551616,0.705534093281947,1.0,0.0,0.705534093281947
1,1,1.49,2.98,0.32165175676345825,15.176683,1.0,1.0,0.0,1.0
1,2,2.98,4.47,0.21873319149017334,12.532084,0.6435210362969187,1.0,0.0,0.6435210362969187
1,3,4.47,5.96,0.13975942134857178,11.039368,0.40356258179455945,1.0,0.0,0.40356258179455945
1,4,5.96,7.45,0.09077513217926025,9.280223,0.20257546394166237,1.0,0.0,0.20257546394166237
1,5,7.45,8.94,0.07864362001419067,9.138032,0.17116628776100037,1.0,0.0,0.17116628776100037
1,6,8.94,10.43,0.05356574058532715,7.187566,0.002563859250740834,1.0,0.0,0.002563859250740834
1,7,10.43,11.92,0.05218398571014404,8.3376665,0.07197920978069305,1.0,0.0,0.07197920978069305
1,8,11.92,13.41,0.07455503940582275,8.760853,0.13997407912355037,1.0,0.0,0.13997407912355037
