video_id,tier,gt,adqa_score,clip_top3,words
3ufJNSez5Is_000008_000018,tier0_cross,0,0.0,0.04605633020401001,35
3ufJNSez5Is_000008_000018,tierA_ad_1sent,1,0.5,0.3170842230319977,15
3ufJNSez5Is_000008_000018,tierB_ad_half,2,0.5,0.2978225350379944,27
3ufJNSez5Is_000008_000018,tier3_va11y,3,0.5,0.32586464285850525,61
_oAKCHh_Av4_000003_000013,tier0_cross,0,0.0,0.06786055117845535,35
_oAKCHh_Av4_000003_000013,tierA_ad_1sent,1,0.2,0.28189215064048767,16
_oAKCHh_Av4_000003_000013,tierB_ad_half,2,0.2,0.32051530480384827,30
_oAKCHh_Av4_000003_000013,tier3_va11y,3,0.3,0.308248370885849,48
BHxn3qfPAl4_000018_000028,tier0_cross,0,0.0,0.0672290027141571,35
BHxn3qfPAl4_000018_000028,tierA_ad_1sent,1,0.2,0.2753129005432129,9
BHxn3qfPAl4_000018_000028,tierB_ad_half,2,0.4,0.25308555364608765,22
BHxn3qfPAl4_000018_000028,tier3_va11y,3,0.4,0.246989443898201,37
BcW6Y7eufQE_000239_000249,tier0_cross,0,0.0,0.04362127184867859,35
BcW6Y7eufQE_000239_000249,tierA_ad_1sent,1,0.7,0.27873557806015015,20
BcW6Y7eufQE_000239_000249,tierB_ad_half,2,0.8,0.2893829941749573,26
BcW6Y7eufQE_000239_000249,tier3_va11y,3,0.8,0.2819806933403015,52
EA3HCx0yTIY_000281_000291,tier0_cross,0,0.0,0.04130551218986511,35
EA3HCx0yTIY_000281_000291,tierA_ad_1sent,1,0.8,0.36573752760887146,13
EA3HCx0yTIY_000281_000291,tierB_ad_half,2,1.0,0.3697226941585541,25
EA3HCx0yTIY_000281_000291,tier3_va11y,3,1.0,0.3620990812778473,37
j6CgiNeWQwM_000842_000852,tier0_cross,0,0.0,0.029547490179538727,35
j6CgiNeWQwM_000842_000852,tierA_ad_1sent,1,0.4,0.2675204575061798,12
j6CgiNeWQwM_000842_000852,tierB_ad_half,2,0.4,0.28833308815956116,41
j6CgiNeWQwM_000842_000852,tier3_va11y,3,0.4,0.3035511076450348,57
9fuIpQgnNEQ_000049_000059,tier0_cross,0,0.0,-0.02099834382534027,35
9fuIpQgnNEQ_000049_000059,tierA_ad_1sent,1,0.2,0.27905669808387756,14
9fuIpQgnNEQ_000049_000059,tierB_ad_half,2,0.5,0.3060927093029022,23
9fuIpQgnNEQ_000049_000059,tier3_va11y,3,0.5,0.3004569709300995,52
u-olDM7oGGM_000012_000022,tier0_cross,0,0.0,0.02482336014509201,35
u-olDM7oGGM_000012_000022,tierA_ad_1sent,1,0.1,0.2920233905315399,25
u-olDM7oGGM_000012_000022,tierB_ad_half,2,0.4,0.2908947169780731,40
u-olDM7oGGM_000012_000022,tier3_va11y,3,0.4,0.2955004870891571,54
eb-ufaFcUas_000008_000018,tier0_cross,0,0.0,0.051874738186597824,35
eb-ufaFcUas_000008_000018,tierA_ad_1sent,1,0.2,0.2900640368461609,18
eb-ufaFcUas_000008_000018,tierB_ad_half,2,0.2,0.28967446088790894,33
eb-ufaFcUas_000008_000018,tier3_va11y,3,0.3,0.3247540593147278,61
heWD9j45Emw_000225_000235,tier0_cross,0,0.0,0.040125250816345215,35
heWD9j45Emw_000225_000235,tierA_ad_1sent,1,0.0,0.2522980868816376,14
heWD9j45Emw_000225_000235,tierB_ad_half,2,0.0,0.30397701263427734,38
heWD9j45Emw_000225_000235,tier3_va11y,3,0.0,0.2960875332355499,58
