clip_idx,t,control_need_raw,motion_action_need,scene_spatial_need,face_character_need,object_body_need,visual_form_need,language_auditory_need,dominant_type,dominant_score,second_type,second_score,type_margin,type_entropy,ad_template,start_s,end_s,need_score,speech_density,recommendation,standard_slot_score,extended_need_score,visual_event_score,visual_event_need,critical_weight
0,0,0.6292832792049629,0.28533917931877045,0.04002213870875618,0.3011362570555833,0.23537009183543312,0.13813233308145706,0.18543719270216416,face_character,0.3011362570555833,motion_action,0.28533917931877045,0.015797077736812826,2.559999031036194,"Describe visible people/characters first: identity cues, expression, attention, interaction.",0.0,0.902,0.6497633362993164,0.0,standard_ad_slot,0.6497633362993164,0.0,0.0,0.0,0.6497633362993164
0,1,0.28838947389328534,0.04045895727926434,0.0,0.541229904381779,0.24863626667794533,0.16967487166101144,0.15950750725084273,face_character,0.541229904381779,object_body,0.24863626667794533,0.2925936377038336,2.022462968135755,"Describe visible people/characters first: identity cues, expression, attention, interaction.",0.902,1.804,0.2944119537362101,0.8093126385809313,low_ad_need,0.0561406386281908,0.2382713151080192,0.0,0.0,0.2944119537362101
0,2,0.5171561292916779,1.0,0.0,0.0,0.0,0.0,0.45284840875697424,motion_action,1.0,language_auditory,0.45284840875697424,0.5471515912430258,0.5175604041288971,"Describe the action first: who moves, what changes, and the result.",1.804,2.7059999999999995,0.3063147999964302,0.2594235033259424,low_ad_need,0.2268495414607709,0.0794652585356593,0.0,0.0,0.3063147999964302
0,3,0.04455694425303365,0.2236086741407854,0.0,0.7763913258592146,0.0,0.0,0.3531190096258798,face_character,0.7763913258592146,language_auditory,0.3531190096258798,0.4232723162333348,1.297007115132366,"Describe visible people/characters first: identity cues, expression, attention, interaction.",2.7059999999999995,3.608,0.0481619964357295,0.0,low_ad_need,0.0481619964357295,0.0,0.4856750298290354,0.0233910790555488,0.4856750298290354
0,4,0.21981344493787608,0.22155497642695765,0.15784852747304054,0.35699696497366684,0.18774644515348218,0.07585308597285288,0.17179254053463391,face_character,0.35699696497366684,motion_action,0.22155497642695765,0.1354419885467092,2.604485149284817,"Describe visible people/characters first: identity cues, expression, attention, interaction.",3.608,4.51,0.1966371602949933,0.0,low_ad_need,0.1966371602949933,0.0,0.0058822361268093,0.0011566662081604,0.1966371602949933
0,5,0.35384074746136096,0.17702059494421776,0.27346821366490487,0.17392570961784382,0.14300135541874148,0.23258412635429204,0.16169245558743045,scene_spatial,0.27346821366490487,visual_form,0.23258412635429204,0.04088408731061283,2.708312963840727,Describe the place/layout first: where this is and how objects/people are arranged.,4.51,5.411999999999999,0.3216400542872502,0.0,low_ad_need,0.3216400542872502,0.0,0.100705057448819,0.0323907801448387,0.3216400542872502
0,6,0.4564189678844893,0.17145862140997667,0.2526699376566483,0.1485935958909078,0.1696313941641484,0.25764645087831894,0.1284361992775165,visual_form,0.25764645087831894,scene_spatial,0.2526699376566483,0.004976513221670642,2.6649386947716387,"Describe salient visual form first: shape, color, framing, or visual state.",5.411999999999999,6.313999999999999,0.606841528279279,0.0,standard_ad_slot,0.606841528279279,0.0,0.1360121268888274,0.0825378069457312,0.606841528279279
0,7,0.40701132027864495,0.11016665155817797,0.2809123978574613,0.16374247748796103,0.16956111996209447,0.2756173531343053,0.13403929401479528,scene_spatial,0.2809123978574613,visual_form,0.2756173531343053,0.005295044723156006,2.6277623080318184,Describe the place/layout first: where this is and how objects/people are arranged.,6.313999999999999,7.215999999999999,0.5613273804457171,0.0,standard_ad_slot,0.5613273804457171,0.0,0.0,0.0,0.5613273804457171
0,8,0.764172315668008,0.14784542212694804,0.2550131654915607,0.16809634079436458,0.16723118994479388,0.2618138816423327,0.17474863530113421,visual_form,0.2618138816423327,scene_spatial,0.2550131654915607,0.00680071615077199,2.7203455391853373,"Describe salient visual form first: shape, color, framing, or visual state.",7.215999999999999,8.117999999999999,0.780558490573434,0.0,standard_ad_slot,0.780558490573434,0.0,0.0,0.0,0.780558490573434
0,9,0.28365729504769177,0.4413234587413986,0.024544955436811372,0.17014504290555005,0.32196327690192617,0.04202326601431373,0.14052824057862479,motion_action,0.4413234587413986,object_body,0.32196327690192617,0.11936018183947245,2.203251104377041,"Describe the action first: who moves, what changes, and the result.",8.117999999999999,9.02,0.117136631119893,0.0,low_ad_need,0.117136631119893,0.0,1.0,0.117136631119893,1.0
