clip_idx,roi,roi_type,mean_roi_need,max_roi_need,corr_with_whole_need,top3_overlap_with_whole,peak_sharpness,top_roi_windows
0,scene_context_ppa_proxy,visual_proxy,0.35380264145175105,1.0,0.8454612917483132,0.6666666666666666,0.7454887225942883,t8 7.2-8.1s roi_need_score=1.00 whole=0.78; t7 6.3-7.2s roi_need_score=0.68 whole=0.56; t6 5.4-6.3s roi_need_score=0.66 whole=0.61
0,retrosplenial_precuneus_proxy,visual_proxy,0.39309940348624683,0.9675825492891376,0.7582185407215566,0.6666666666666666,0.722986416383252,t6 5.4-6.3s roi_need_score=0.97 whole=0.61; t8 7.2-8.1s roi_need_score=0.84 whole=0.78; t7 6.3-7.2s roi_need_score=0.80 whole=0.56
0,occipital_visual_proxy,visual_proxy,0.390577042642004,0.876838136084136,0.9581254607279005,1.0,0.5213084327444446,t8 7.2-8.1s roi_need_score=0.88 whole=0.78; t6 5.4-6.3s roi_need_score=0.66 whole=0.61; t0 0.0-0.9s roi_need_score=0.63 whole=0.65
0,early_visual_v1_proxy,visual_proxy,0.3765998823536846,0.8613546358956643,0.8338371962601486,0.6666666666666666,0.6007729536430966,t8 7.2-8.1s roi_need_score=0.86 whole=0.78; t6 5.4-6.3s roi_need_score=0.86 whole=0.61; t7 6.3-7.2s roi_need_score=0.72 whole=0.56
0,ventral_visual_ffa_proxy,visual_proxy,0.40966009199753184,0.7555650979771202,0.7376656244338281,0.6666666666666666,0.35806500171086575,t0 0.0-0.9s roi_need_score=0.76 whole=0.65; t8 7.2-8.1s roi_need_score=0.65 whole=0.78; t1 0.9-1.8s roi_need_score=0.63 whole=0.29
0,motion_mt_proxy,visual_proxy,0.35947771216262425,0.6429443295629731,0.6042390607349056,0.6666666666666666,0.33082507161842223,t0 0.0-0.9s roi_need_score=0.64 whole=0.65; t9 8.1-9.0s roi_need_score=0.61 whole=0.12; t8 7.2-8.1s roi_need_score=0.55 whole=0.78
0,body_eba_proxy,visual_proxy,0.3698958780080788,0.6252717096129996,0.8378278227023578,1.0,0.22083856460289425,t8 7.2-8.1s roi_need_score=0.63 whole=0.78; t0 0.0-0.9s roi_need_score=0.62 whole=0.65; t6 5.4-6.3s roi_need_score=0.53 whole=0.61
0,lateral_object_loc_proxy,visual_proxy,0.36873804175886826,0.608357031721843,0.6866883320282671,0.6666666666666666,0.22282681195609577,t8 7.2-8.1s roi_need_score=0.61 whole=0.78; t9 8.1-9.0s roi_need_score=0.58 whole=0.12; t0 0.0-0.9s roi_need_score=0.58 whole=0.65
0,language_control,control,0.39511868159437924,0.7982830902466425,0.7991596738410963,0.6666666666666666,0.4510486872281456,t8 7.2-8.1s roi_need_score=0.80 whole=0.78; t0 0.0-0.9s roi_need_score=0.65 whole=0.65; t2 1.8-2.7s roi_need_score=0.65 whole=0.31
0,auditory_control,control,0.39774130198982693,0.7300615410893735,0.8256299662419556,1.0,0.3062171109333841,t8 7.2-8.1s roi_need_score=0.73 whole=0.78; t0 0.0-0.9s roi_need_score=0.60 whole=0.65; t6 5.4-6.3s roi_need_score=0.53 whole=0.61
1,body_eba_proxy,visual_proxy,0.460045126412193,1.0,0.8545111077935227,1.0,0.5582312983467463,t0 0.0-0.9s roi_need_score=1.00 whole=0.71; t1 0.9-1.8s roi_need_score=0.78 whole=1.00; t2 1.8-2.8s roi_need_score=0.64 whole=0.64
1,early_visual_v1_proxy,visual_proxy,0.33259462199916556,1.0,0.9320140881670297,1.0,0.8561065091488801,t1 0.9-1.8s roi_need_score=1.00 whole=1.00; t2 1.8-2.8s roi_need_score=0.71 whole=0.64; t0 0.0-0.9s roi_need_score=0.62 whole=0.71
1,lateral_object_loc_proxy,visual_proxy,0.39906942321947736,1.0,0.7726461952001772,1.0,0.6405557411042175,t0 0.0-0.9s roi_need_score=1.00 whole=0.71; t1 0.9-1.8s roi_need_score=0.63 whole=1.00; t2 1.8-2.8s roi_need_score=0.50 whole=0.64
1,motion_mt_proxy,visual_proxy,0.20970793060222512,1.0,0.48522236853723005,0.6666666666666666,0.8678612840854033,t0 0.0-0.9s roi_need_score=1.00 whole=0.71; t1 0.9-1.8s roi_need_score=0.30 whole=1.00; t9 8.3-9.2s roi_need_score=0.24 whole=0.34
1,retrosplenial_precuneus_proxy,visual_proxy,0.3974632667451506,1.0,0.8416212766242822,0.6666666666666666,0.7205966505835659,t1 0.9-1.8s roi_need_score=1.00 whole=1.00; t2 1.8-2.8s roi_need_score=0.85 whole=0.64; t3 2.8-3.7s roi_need_score=0.69 whole=0.40
1,scene_context_ppa_proxy,visual_proxy,0.3087921009619769,1.0,0.9386364304249389,0.6666666666666666,0.8102754291021592,t1 0.9-1.8s roi_need_score=1.00 whole=1.00; t2 1.8-2.8s roi_need_score=0.70 whole=0.64; t3 2.8-3.7s roi_need_score=0.52 whole=0.40
1,ventral_visual_ffa_proxy,visual_proxy,0.33734591501106853,0.8961039505782986,0.43067833898991226,0.3333333333333333,0.6470370832542794,t0 0.0-0.9s roi_need_score=0.90 whole=0.71; t9 8.3-9.2s roi_need_score=0.54 whole=0.34; t8 7.4-8.3s roi_need_score=0.47 whole=0.14
1,occipital_visual_proxy,visual_proxy,0.3270843330667702,0.8582217119873696,0.9666352263205508,1.0,0.6497025574282219,t1 0.9-1.8s roi_need_score=0.86 whole=1.00; t0 0.0-0.9s roi_need_score=0.82 whole=0.71; t2 1.8-2.8s roi_need_score=0.67 whole=0.64
1,auditory_control,control,0.3036137248450286,1.0,0.12908623402929514,0.3333333333333333,0.76800695019278,t10 9.2-10.1s roi_need_score=1.00 whole=0.14; t9 8.3-9.2s roi_need_score=0.64 whole=0.34; t0 0.0-0.9s roi_need_score=0.40 whole=0.71
1,language_control,control,0.4090784409906854,0.866017292141317,0.43070483174225216,0.3333333333333333,0.5831875883000391,t9 8.3-9.2s roi_need_score=0.87 whole=0.34; t0 0.0-0.9s roi_need_score=0.81 whole=0.71; t10 9.2-10.1s roi_need_score=0.79 whole=0.14
