source,metric,spearman_rho,kendall_tau,pairwise_wins,full_order_clips,null_spearman_mean,null_spearman_p_ge_observed,null_pairwise_mean,null_pairwise_p_ge_observed,null_full_order_mean,null_full_order_p_ge_observed,n_permutations
need_weighted_grounding,need_weighted_clip,0.9759000729485332,0.9258200997725515,6.0,2.0,0.0,0.001736111111111111,3.0,0.0625,0.08333333333333333,0.001736111111111111,576
need_weighted_grounding,critical_weighted_clip,0.9759000729485332,0.9258200997725515,6.0,2.0,0.0,0.001736111111111111,3.0,0.0625,0.08333333333333333,0.001736111111111111,576
need_weighted_grounding,need_weighted_clip_norm_clip,0.9383431168171101,0.8807048459279794,6.0,2.0,0.0,0.001736111111111111,3.0,0.0625,0.08333333333333333,0.001736111111111111,576
need_weighted_grounding,critical_weighted_clip_norm_clip,0.9383431168171101,0.8807048459279794,6.0,2.0,0.0,0.001736111111111111,3.0,0.0625,0.08333333333333333,0.001736111111111111,576
need_weighted_grounding,clip_mean_norm_clip,0.8889566369846307,0.8006407690254358,6.0,1.0,0.0,0.005208333333333333,3.0,0.0625,0.08333333333333333,0.08159722222222222,576
need_weighted_grounding,clip_top3_norm_clip,0.8889566369846307,0.8006407690254358,6.0,1.0,0.0,0.005208333333333333,3.0,0.0625,0.08333333333333333,0.08159722222222222,576
need_weighted_grounding,extended_need_weighted_clip_norm_clip,0.8889566369846307,0.8006407690254358,6.0,1.0,0.0,0.005208333333333333,3.0,0.0625,0.08333333333333333,0.08159722222222222,576
need_weighted_grounding,clip_mean,0.8783100656536799,0.7715167498104596,6.0,1.0,-1.2335811384723961e-17,0.008680555555555556,3.0,0.0625,0.08333333333333333,0.08159722222222222,576
need_weighted_grounding,clip_top3,0.8783100656536799,0.7715167498104596,6.0,1.0,-6.1679056923619804e-18,0.006944444444444444,3.0,0.0625,0.08333333333333333,0.08159722222222222,576
need_weighted_grounding,extended_need_weighted_clip,0.8783100656536799,0.7715167498104596,6.0,1.0,0.0,0.006944444444444444,3.0,0.0625,0.08333333333333333,0.08159722222222222,576
need_weighted_grounding,opportunity_weighted_clip,0.9271050693011065,0.8486684247915055,5.0,1.0,0.0,0.006944444444444444,3.0,0.1875,0.08333333333333333,0.08159722222222222,576
need_weighted_grounding,standard_slot_weighted_clip,0.8783100656536799,0.7715167498104596,5.0,1.0,0.0,0.010416666666666666,3.0,0.1875,0.08333333333333333,0.08159722222222222,576
need_weighted_grounding,standard_slot_weighted_clip_norm_clip,0.864263397068391,0.760608730574164,5.0,1.0,0.0,0.008680555555555556,3.0,0.1875,0.08333333333333333,0.08159722222222222,576
need_weighted_grounding,opportunity_weighted_clip_norm_clip,0.864263397068391,0.760608730574164,5.0,1.0,0.0,0.008680555555555556,3.0,0.1875,0.08333333333333333,0.08159722222222222,576
need_weighted_grounding,event_weighted_clip_norm_clip,0.7407971974871923,0.6805446536716204,5.0,1.0,3.0839528461809902e-18,0.026041666666666668,3.0,0.1875,0.08333333333333333,0.08159722222222222,576
need_weighted_grounding,event_weighted_clip,0.7319250547114,0.6172133998483676,5.0,1.0,0.0,0.03298611111111111,3.0,0.1875,0.08333333333333333,0.08159722222222222,576
trajectory_metrics,resampled_traj_cos,0.0,0.0,5.0,0.0,6.1679056923619804e-18,0.5572916666666666,3.0,0.1875,0.08333333333333333,1.0,576
trajectory_metrics,resampled_traj_gain_vs_audio,0.29277002188455997,0.23145502494313788,4.0,0.0,3.0839528461809902e-18,0.1753472222222222,3.0,0.375,0.08333333333333333,1.0,576
trajectory_metrics,shift_curve_corr,-0.19518001458970666,-0.23145502494313788,4.0,0.0,0.0,0.6996527777777778,3.0,0.375,0.08333333333333333,1.0,576
ocr_coverage,weighted_ocr_score,0.9486832980505139,0.9128709291752769,3.0,0.0,6.1679056923619804e-18,0.08333333333333333,1.25,0.25,0.0,1.0,576
ocr_coverage,weighted_phrase_coverage,0.7745966692414834,0.7071067811865477,3.0,0.0,-6.1679056923619804e-18,0.25,0.75,0.25,0.0,1.0,576
trajectory_metrics,dtw_traj_similarity,-0.048795003647426664,-0.07715167498104596,2.0,0.0,0.0,0.6336805555555556,3.0,0.8125,0.08333333333333333,1.0,576
ocr_coverage,weighted_token_coverage,0.7745966692414834,0.7071067811865477,1.0,0.0,-3.0839528461809902e-18,0.25,0.75,0.75,0.0,1.0,576
