clip_idx,window_idx,start_s,end_s,condition,provider,model,recommendation,word_budget,word_count,ad_text,video_dominant_type,video_dominant_score,video_second_type,video_second_score,text_dominant_type,text_dominant_score,text_second_type,text_second_score,feel_alignment,feel_abs_error,weighted_missing_need,weighted_surplus_text,dominant_match,target_type_hit,target_and_second_hit,biggest_missing_type,biggest_missing_delta,biggest_surplus_type,biggest_surplus_delta,unique_keywords,specificity_score,video_feel_motion_action,video_feel_scene_spatial,video_feel_face_character,video_feel_object_body,video_feel_visual_form,video_feel_language_auditory,text_feel_motion_action,text_feel_scene_spatial,text_feel_face_character,text_feel_object_body,text_feel_visual_form,text_feel_language_auditory,feel_delta_motion_action,feel_delta_scene_spatial,feel_delta_face_character,feel_delta_object_body,feel_delta_visual_form,feel_delta_language_auditory
0,0,0.0,0.902,baseline,anthropic,claude-haiku-4-5-20251001,standard_ad_slot,4,4,Chef throws tomato knife,face_character,0.2540297022140442,motion_action,0.24070375138842182,object_body,0.5,motion_action,0.25,0.8119420698189675,0.10358165061806879,0.04021158161986194,0.15304841377420866,0,1,1,language_auditory,0.1564293695556036,object_body,-0.30144870324262824,4.0,1.0,0.24070375138842182,0.033761500782278464,0.2540297022140442,0.19855129675737176,0.11652437930228005,0.1564293695556036,0.25,0.0,0.25,0.5,0.0,0.0,-0.009296248611578184,0.033761500782278464,0.004029702214044195,-0.30144870324262824,0.11652437930228005,0.1564293695556036
0,0,0.0,0.902,gap_targeted,anthropic,claude-haiku-4-5-20251001,standard_ad_slot,4,4,A chef smiles throwing,face_character,0.2540297022140442,motion_action,0.24070375138842182,face_character,0.6666666666666666,motion_action,0.3333333333333333,0.746749793876199,0.16842218213251128,0.07861053501045093,0.3059678369500521,1,1,1,object_body,0.19855129675737176,face_character,-0.41263696445262243,3.0,0.75,0.24070375138842182,0.033761500782278464,0.2540297022140442,0.19855129675737176,0.11652437930228005,0.1564293695556036,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,-0.0926295819449115,0.033761500782278464,-0.41263696445262243,0.19855129675737176,0.11652437930228005,0.1564293695556036
0,1,0.902,1.804,baseline,anthropic,claude-haiku-4-5-20251001,low_ad_need,4,4,Knife pins tomato to,face_character,0.46677567932700914,object_body,0.21443264931285735,object_body,0.6666666666666666,motion_action,0.3333333333333333,0.3752848055942332,0.2502247082922744,0.25821714348525515,0.40096938074354416,0,0,0,face_character,0.46677567932700914,object_body,-0.4522340173538093,3.0,0.75,0.034893225810319485,0.0,0.46677567932700914,0.21443264931285735,0.14633356886434087,0.13756487668547332,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,-0.2984401075230138,0.0,0.46677567932700914,-0.4522340173538093,0.14633356886434087,0.13756487668547332
0,1,0.902,1.804,gap_targeted,anthropic,claude-haiku-4-5-20251001,low_ad_need,4,4,Chef smiles eyes bright,face_character,0.46677567932700914,object_body,0.21443264931285735,face_character,1.0,motion_action,0.0,0.844621821316246,0.17774144022433033,0.08753650697284508,0.5332243206729909,1,1,0,object_body,0.21443264931285735,face_character,-0.5332243206729909,2.0,0.5,0.034893225810319485,0.0,0.46677567932700914,0.21443264931285735,0.14633356886434087,0.13756487668547332,0.0,0.0,1.0,0.0,0.0,0.0,0.034893225810319485,0.0,-0.5332243206729909,0.21443264931285735,0.14633356886434087,0.13756487668547332
0,2,1.804,2.7059999999999995,baseline,anthropic,claude-haiku-4-5-20251001,low_ad_need,4,4,Knife pins tomato to,motion_action,0.6883030562394176,language_auditory,0.3116969437605824,object_body,0.6666666666666666,motion_action,0.3333333333333333,0.4073883049776184,0.2222222222222222,0.34148172989840464,0.4444444444444444,0,1,0,motion_action,0.35496972290608425,object_body,-0.6666666666666666,3.0,0.75,0.6883030562394176,0.0,0.0,0.0,0.0,0.3116969437605824,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.35496972290608425,0.0,0.0,-0.6666666666666666,0.0,0.3116969437605824
0,2,1.804,2.7059999999999995,gap_targeted,anthropic,claude-haiku-4-5-20251001,low_ad_need,4,4,Tomato flies knife follows,motion_action,0.6883030562394176,language_auditory,0.3116969437605824,object_body,1.0,motion_action,0.0,0.0,0.3333333333333333,0.5709160819782105,1.0,0,0,0,motion_action,0.6883030562394176,object_body,-1.0,2.0,0.5,0.6883030562394176,0.0,0.0,0.0,0.0,0.3116969437605824,0.0,0.0,0.0,1.0,0.0,0.0,0.6883030562394176,0.0,0.0,-1.0,0.0,0.3116969437605824
0,3,2.7059999999999995,3.608,baseline,anthropic,claude-haiku-4-5-20251001,low_ad_need,4,4,Knife pins tomato to,face_character,0.5737790396381149,language_auditory,0.26096670515589954,object_body,0.6666666666666666,motion_action,0.3333333333333333,0.11341219797059934,0.2782485815980048,0.39732600752796365,0.500470803820227,0,0,0,face_character,0.5737790396381149,object_body,-0.6666666666666666,3.0,0.75,0.1652542552059854,0.0,0.5737790396381149,0.0,0.0,0.26096670515589954,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,-0.1680790781273479,0.0,0.5737790396381149,-0.6666666666666666,0.0,0.26096670515589954
0,3,2.7059999999999995,3.608,gap_targeted,anthropic,claude-haiku-4-5-20251001,low_ad_need,4,4,Chef smiles eyes bright,face_character,0.5737790396381149,language_auditory,0.26096670515589954,face_character,1.0,motion_action,0.0,0.8805150786899276,0.14207365345396164,0.09541259006361116,0.42622096036188506,1,1,0,language_auditory,0.26096670515589954,face_character,-0.42622096036188506,2.0,0.5,0.1652542552059854,0.0,0.5737790396381149,0.0,0.0,0.26096670515589954,0.0,0.0,1.0,0.0,0.0,0.0,0.1652542552059854,0.0,-0.42622096036188506,0.0,0.0,0.26096670515589954
0,4,3.608,4.51,baseline,anthropic,claude-haiku-4-5-20251001,low_ad_need,4,4,Knife pins tomato to,face_character,0.3046588475557166,motion_action,0.18907355078900956,object_body,0.6666666666666666,motion_action,0.3333333333333333,0.5119975525951066,0.2169016250966248,0.13664675887816607,0.38571665601180827,0,0,0,face_character,0.3046588475557166,object_body,-0.5064450927455506,3.0,0.75,0.18907355078900956,0.13470688881584933,0.3046588475557166,0.16022157392111597,0.06473252162728789,0.1466066172910207,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,-0.14425978254432376,0.13470688881584933,0.3046588475557166,-0.5064450927455506,0.06473252162728789,0.1466066172910207
0,4,3.608,4.51,gap_targeted,anthropic,claude-haiku-4-5-20251001,low_ad_need,4,4,Chef smiles throws tomato,face_character,0.3046588475557166,motion_action,0.18907355078900956,face_character,0.5,motion_action,0.25,0.8793506171360767,0.11534867591138598,0.0438297454841887,0.13534679504461034,1,1,1,language_auditory,0.1466066172910207,face_character,-0.1953411524442834,4.0,1.0,0.18907355078900956,0.13470688881584933,0.3046588475557166,0.16022157392111597,0.06473252162728789,0.1466066172910207,0.25,0.0,0.5,0.25,0.0,0.0,-0.06092644921099044,0.13470688881584933,-0.1953411524442834,-0.08977842607888403,0.06473252162728789,0.1466066172910207
