clip_idx,window_idx,tier,gt,frame_clip_mean,frame_clip_max,need_score,recommendation
0,0,tier3_va11y,3,0.23835970958073935,0.2512867748737335,0.4720351619923033,extended_or_integrated_ad
0,0,tier2_vatex_long,2,0.1992457906405131,0.2152259796857834,0.4720351619923033,extended_or_integrated_ad
0,0,tier1_vatex_short,1,0.23085898657639822,0.23927846550941467,0.4720351619923033,extended_or_integrated_ad
0,0,tier0_cross,0,0.07645625621080399,0.0800919458270073,0.4720351619923033,extended_or_integrated_ad
0,1,tier3_va11y,3,0.21810953319072723,0.24756215512752533,0.1776389662873521,low_ad_need
0,1,tier2_vatex_long,2,0.1872925857702891,0.21723532676696777,0.1776389662873521,low_ad_need
0,1,tier1_vatex_short,1,0.23518341779708862,0.24063006043434143,0.1776389662873521,low_ad_need
0,1,tier0_cross,0,0.06385858977834384,0.07083269208669662,0.1776389662873521,low_ad_need
0,2,tier3_va11y,3,0.20383509993553162,0.21793092787265778,0.2593183505830911,low_ad_need
0,2,tier2_vatex_long,2,0.18674519658088684,0.19717995822429657,0.2593183505830911,low_ad_need
0,2,tier1_vatex_short,1,0.23996586600939432,0.26746436953544617,0.2593183505830911,low_ad_need
0,2,tier0_cross,0,0.11018617699543636,0.1454756110906601,0.2593183505830911,low_ad_need
0,3,tier3_va11y,3,0.21676373481750488,0.21676373481750488,0.5841811642054016,extended_or_integrated_ad
0,3,tier2_vatex_long,2,0.16765187680721283,0.16765187680721283,0.5841811642054016,extended_or_integrated_ad
0,3,tier1_vatex_short,1,0.2614508867263794,0.2614508867263794,0.5841811642054016,extended_or_integrated_ad
0,3,tier0_cross,0,0.0957607701420784,0.0957607701420784,0.5841811642054016,extended_or_integrated_ad
1,0,tier3_va11y,3,0.2713959068059921,0.30403026938438416,0.8527670466409736,extended_or_integrated_ad
1,0,tier2_vatex_long,2,0.22844151655832926,0.25499117374420166,0.8527670466409736,extended_or_integrated_ad
1,0,tier1_vatex_short,1,0.22186140716075897,0.22845183312892914,0.8527670466409736,extended_or_integrated_ad
1,0,tier0_cross,0,0.08953638126452763,0.11449675261974335,0.8527670466409736,extended_or_integrated_ad
1,1,tier3_va11y,3,0.2849953571955363,0.30868443846702576,0.5235418090457391,extended_or_integrated_ad
1,1,tier2_vatex_long,2,0.2364919831355413,0.2581784725189209,0.5235418090457391,extended_or_integrated_ad
1,1,tier1_vatex_short,1,0.21422485013802847,0.22902600467205048,0.5235418090457391,extended_or_integrated_ad
1,1,tier0_cross,0,0.1127312183380127,0.1239689439535141,0.5235418090457391,extended_or_integrated_ad
1,2,tier3_va11y,3,0.26816757520039874,0.27846866846084595,0.18687087585133139,low_ad_need
1,2,tier2_vatex_long,2,0.24370929102102915,0.2696063220500946,0.18687087585133139,low_ad_need
1,2,tier1_vatex_short,1,0.2112968017657598,0.22656965255737305,0.18687087585133139,low_ad_need
1,2,tier0_cross,0,0.07495982944965363,0.11358670145273209,0.18687087585133139,low_ad_need
1,3,tier3_va11y,3,0.25797080993652344,0.25797080993652344,0.03727153451571694,low_ad_need
1,3,tier2_vatex_long,2,0.24689505994319916,0.24689505994319916,0.03727153451571694,low_ad_need
1,3,tier1_vatex_short,1,0.2099498212337494,0.2099498212337494,0.03727153451571694,low_ad_need
1,3,tier0_cross,0,0.04153817519545555,0.04153817519545555,0.03727153451571694,low_ad_need
3,0,tier3_va11y,3,0.27922622362772626,0.2822383642196655,0.710663123229123,extended_or_integrated_ad
3,0,tier2_vatex_long,2,0.27401021122932434,0.2805976867675781,0.710663123229123,extended_or_integrated_ad
