clip_idx,tier,gt,need_weighted_clip,critical_weighted_clip,clip_mean,clip_top3
0,tier0_cross,0,0.08836798830293924,0.08713336197320853,0.08656544828166565,0.09413440111610626
0,tier1_vatex_short,1,0.2449236470314721,0.2477790164998196,0.24186478927731514,0.24553339017762077
0,tier2_vatex_long,2,0.183292148634207,0.18177155841444564,0.18523386244972545,0.19109452433056298
0,tier3_va11y,3,0.22150564372915849,0.22641522305234676,0.21926701938112578,0.22441099252965716
1,tier0_cross,0,0.09430414103646655,0.0983595948272381,0.07969140106191237,0.09240914301739798
1,tier1_vatex_short,1,0.21785238972682958,0.218956494602766,0.21433322007457417,0.21579435302151576
1,tier2_vatex_long,2,0.23328743112339492,0.23150387848245774,0.2388844626645247,0.2423654446999232
1,tier3_va11y,3,0.27515498767933916,0.27656907766044925,0.27063241228461266,0.2748529464006424
3,tier0_cross,0,0.07050041795984723,0.0659167543053627,0.07251415681093931,0.07471329097946484
3,tier1_vatex_short,1,0.258380104660823,0.25635000069936115,0.259676069021225,0.2620121406184302
3,tier2_vatex_long,2,0.2735695332534962,0.27401021122932434,0.2741825108726819,0.277018666267395
3,tier3_va11y,3,0.2826483864365068,0.27922622362772626,0.28460486978292465,0.28790162338150876
4,tier0_cross,0,0.04594221230594064,0.04876069001645028,0.03908954355865717,0.049115159859259926
4,tier1_vatex_short,1,0.2743568552929199,0.27640424804909547,0.2688308248917262,0.27735835644933915
4,tier2_vatex_long,2,0.3128137816896563,0.3133509917540041,0.3102276225884756,0.31450183524025815
4,tier3_va11y,3,0.277314855049345,0.2791647675131926,0.2729678710301717,0.28154005606969196
5,tier0_cross,0,0.03468860335975749,0.03468860335975749,0.0357692528826495,0.03956295922398567
5,tier1_vatex_short,1,0.2728793614033037,0.2728793614033037,0.2731368492046992,0.2746855517228444
5,tier2_vatex_long,2,0.2925696768533395,0.2925696768533395,0.2928292279442152,0.29652781618966
5,tier3_va11y,3,0.32927226291945605,0.32927226291945605,0.3302198226253192,0.3341330587863922
6,tier0_cross,0,0.06749544130936876,0.06640911350647609,0.07019331554571788,0.07154484672678842
6,tier1_vatex_short,1,0.264067840571134,0.2650264898935954,0.264129213988781,0.2651810546716054
6,tier2_vatex_long,2,0.24381194446525345,0.24446319043636325,0.2446236728380124,0.24631799591912165
6,tier3_va11y,3,0.25149526942484685,0.2544966737429301,0.2515038953473171,0.2555730260080762
7,tier0_cross,0,0.12740894822814242,0.12599897384643555,0.12702500013013682,0.1285013324684567
7,tier1_vatex_short,1,0.22743383490682512,0.22339855134487152,0.23328408102194467,0.23657925758096907
7,tier2_vatex_long,2,0.2380843721215295,0.23882925510406494,0.241222915550073,0.24449450771013895
7,tier3_va11y,3,0.25125616304207726,0.25615251064300537,0.248201838384072,0.25031978223058915
8,tier0_cross,0,0.16050911888337394,0.15387745797537508,0.16709059042235214,0.17802315288119844
8,tier1_vatex_short,1,0.2166282075909037,0.20384585100833713,0.22982919091979664,0.24338679346773362
8,tier2_vatex_long,2,0.2431743449712016,0.24739907109812642,0.23759281262755394,0.24367508788903555
8,tier3_va11y,3,0.2811000975172152,0.29408412994203964,0.2651713875432809,0.280127959118949
9,tier0_cross,0,0.12249247048093828,0.12249247048093828,0.12142050762971242,0.1258485698037677
9,tier1_vatex_short,1,0.2495917408314597,0.2495917408314597,0.24971833576758704,0.25256239374478656
9,tier2_vatex_long,2,0.25573017517497965,0.25573017517497965,0.256265040487051,0.2597168534994126
9,tier3_va11y,3,0.2846885332453765,0.2846885332453765,0.28528719395399094,0.29057494137022233
11,tier0_cross,0,0.13971133731706087,0.14175516583407305,0.13756905123591423,0.14624034696155128
11,tier1_vatex_short,1,0.19173220516297257,0.1892515135609043,0.19395792732636133,0.19940819674068025
11,tier2_vatex_long,2,0.22685063445121462,0.22363805563871011,0.23016061633825302,0.24175359308719635
11,tier3_va11y,3,0.2515379006808402,0.245385243429879,0.25748884677886963,0.2844459315141042
12,tier0_cross,0,0.14874336210133032,0.1406909078359604,0.1540087511142095,0.15844803220695922
12,tier1_vatex_short,1,0.24422502428365941,0.24731648713350296,0.24173773018022376,0.2465564732750257
12,tier2_vatex_long,2,0.24119899105565903,0.24352750182151794,0.2384408563375473,0.24205569095081755
12,tier3_va11y,3,0.24361727110589834,0.246679849922657,0.23850563603142896,0.24443086567852232
13,tier0_cross,0,0.1288849012658174,0.1321854938459687,0.12504126007358235,0.12942546192142698
13,tier1_vatex_short,1,0.24741890014644313,0.247245536389586,0.24791634206970534,0.2520650658342573
13,tier2_vatex_long,2,0.26991509328544117,0.2702545269690849,0.27002444490790367,0.27449628214041394
13,tier3_va11y,3,0.2596716012126065,0.261410922003667,0.2583178157607714,0.26153918107350665
14,tier0_cross,0,0.13132284725728988,0.13222721091981385,0.12946350065370402,0.1320979611741172
14,tier1_vatex_short,1,0.30605448119675366,0.3074674421799269,0.30328553666671115,0.3074469235208299
14,tier2_vatex_long,2,0.2737519181363312,0.275175791807301,0.27098039786020917,0.27518019411298966
14,tier3_va11y,3,0.29193503524052716,0.2922789000030681,0.2912370910247167,0.2922417985068427
15,tier0_cross,0,0.06560378062456501,0.06560378062456501,0.06534679296116033,0.06918137148022652
15,tier1_vatex_short,1,0.23937942961042669,0.23937942961042669,0.23836336533228555,0.24633800817860496
15,tier2_vatex_long,2,0.24311247036600694,0.24311247036600694,0.24295858666300774,0.24630389114220938
15,tier3_va11y,3,0.28413648661050905,0.28413648661050905,0.2837761963407199,0.289968533648385
16,tier0_cross,0,0.0755283127618126,0.0755152553319931,0.07545944675803185,0.0755320174826516
16,tier1_vatex_short,1,0.2501119841587501,0.25297056635220844,0.2476688039799531,0.24900141855080923
16,tier2_vatex_long,2,0.2300832286109133,0.2332294136285782,0.22687012950579324,0.22871436013115776
