video_id,clip_idx,category,extended_route_label,mean_need,max_need,high_need_seconds_frac,extended_seconds_frac,tribe_pressure,duration_s,tier3_word_count,mean_speech_density,risk_score,category_loo_extended_route_rate
abaLFY_GI8k_000295_000305,12,Sports,1,0.5182596900896645,0.8755344451155387,0.625,0.5000000000000001,0.7773895351344968,23.84,64.0,0.5000000000000001,0.280861072744793,0.5
OGWuj_FtaQc_000010_000020,15,Pets & Animals,1,0.5596241940798036,0.7493147206590085,0.9090909090909092,0.7272727272727273,0.9666236079560244,16.39,53.0,0.5454545454545454,0.2450350738936531,0.5
z8Q-s8AthrA_000002_000012,11,Sports,0,0.4782412280361204,0.6204962039553747,0.7272727272727273,0.3636363636363636,0.6521471291401642,16.39,69.0,0.6363636363636364,0.215215029814331,0.75
B0EKYDSv_yQ_000002_000012,4,Food & Cooking,0,0.1987337515089805,0.5713254998961601,0.3076923076923076,0.3076923076923076,0.2598825981271284,19.37,73.0,0.3076923076923077,0.1237965014793331,0.5
vLGOZvJ_v4Q_000285_000295,3,Food & Cooking,0,0.3732172811284784,0.710663123229123,0.1818181818181818,0.1818181818181818,0.4410749686063837,16.39,54.0,0.8181818181818181,0.1174465648562957,0.5
qIWQHyOIpEY_000003_000013,19,Pets & Animals,0,0.333624183997777,0.5766175841764636,0.4285714285714285,0.2857142857142857,0.4289453794257133,20.86,52.0,0.5714285714285714,0.1171860557291687,0.75
UDD6YcChywc_000000_000010,14,Sports,1,0.4003728105074168,0.5376238514689752,0.7272727272727273,0.7272727272727273,0.6915530363309926,16.39,46.0,0.9090909090909092,0.0644179718060927,0.5
gjoZic4WjiQ_000012_000022,17,Pets & Animals,1,0.5719618255815417,0.989735822398962,0.7692307692307692,0.7692307692307692,1.011932460644266,19.37,60.0,0.9230769230769232,0.045903849237172,0.5
PbGvLf7HvXQ_000063_000073,5,Food & Cooking,1,0.6596447063981404,0.8559741095030897,0.9090909090909092,0.9090909090909092,1.2593217122146318,16.39,60.0,1.0,0.0,0.25
hOirknJr3os_000001_000011,8,Travel,0,0.3789945682630365,0.7014957045919514,0.3636363636363636,0.3636363636363636,0.5168107749041408,16.39,56.0,1.0,0.0,1.0
058y9xGmmTQ_000206_000216,1,Food & Cooking,0,0.3472245020802409,0.8527670466409736,0.3636363636363636,0.3636363636363636,0.4734879573821467,16.39,62.0,1.0,0.0,0.5
0HEi6q3bGaw_000011_000021,6,Travel,1,0.3976061903273661,0.7646262287500899,0.5,0.5,0.5964092854910492,17.88,40.0,1.0,0.0,0.5
KFcH6BYZWhc_000011_000021,13,Sports,0,0.3757655783862,0.6344394468570758,0.4,0.4,0.52607180974068,14.9,67.0,1.0,0.0,0.75
09dQut5GJ68_000049_000059,7,Travel,1,0.3871231532659878,0.939134955406189,0.4545454545454546,0.4545454545454546,0.5630882229323458,16.39,41.0,1.0,0.0,0.5
TF4q9y0rJoc_000000_000010,9,Sports,1,0.5830793296168879,0.7650085708250683,0.9090909090909092,0.9090909090909092,1.1131514474504225,16.39,35.0,1.0,0.0,0.5
Q76JRCyTnSc_000007_000017,0,Food & Cooking,1,0.3883963677748515,0.5841811642054016,0.6000000000000001,0.6000000000000001,0.6214341884397624,14.9,40.0,1.0,0.0,0.25
q2ZBVyR1k-U_000021_000031,18,Pets & Animals,1,0.5679584541079548,0.7941592025899242,0.8181818181818181,0.8181818181818181,1.032651734741736,16.39,55.0,1.0,0.0,0.5
kOf-vl-GmVI_000115_000125,16,Pets & Animals,0,0.2185619742134476,0.644815716432821,0.1818181818181818,0.1818181818181818,0.258300514979529,16.39,43.0,1.0,0.0,0.75
