clip_idx,category,subjectivity_pro_vs_short,ensemble_tier3_margin,tribe_pressure
0,Food & Cooking,0.8076923076923077,0.4252086973651956,0.6214341884397624
1,Food & Cooking,0.9574468085106383,0.6028694643329757,0.4734879573821467
3,Food & Cooking,0.8333333333333334,0.457196592430141,0.4410749686063837
4,Food & Cooking,0.8837209302325582,0.2555419911593728,0.2598825981271284
5,Food & Cooking,0.9069767441860466,0.34571627564210505,1.2593217122146318
6,Travel,0.9230769230769231,0.3430205074733178,0.5964092854910492
7,Travel,0.8461538461538461,0.47117627724225464,0.5630882229323458
8,Travel,0.875,0.7048163890728176,0.5168107749041408
9,Sports,0.8620689655172413,0.3859702696784253,1.1131514474504225
11,Sports,0.8888888888888888,0.5799037979836497,0.6521471291401642
12,Sports,0.85,0.30931743507669285,0.7773895351344968
13,Sports,0.8571428571428572,0.321217770628594,0.52607180974068
14,Sports,0.7741935483870968,0.15959676665898337,0.6915530363309926
15,Pets & Animals,0.8611111111111112,0.3024035665466045,0.9666236079560244
16,Pets & Animals,0.90625,0.563485847506423,0.258300514979529
17,Pets & Animals,0.9333333333333333,0.7625026336468188,1.011932460644266
18,Pets & Animals,0.9523809523809523,0.5937285188726349,1.032651734741736
19,Pets & Animals,0.8974358974358975,0.4195634160381957,0.4289453794257133
