clip_idx,tier,gt,need_weighted_clip,critical_weighted_clip,clip_mean,clip_top3,adqa_v4_mean,adqa_critical_only,adqa_v2_score,ensemble_w50_adqa_need_weighted_clip,adqa_v4_norm,adqa_crit_norm,clip_top3_norm,need_w_norm,adqa_v4_rank,clip_top3_rank,ensemble_v4_minmax_50,ensemble_crit_minmax_50,ensemble_v4_rank_50,ensemble_adqa_v4_only,ensemble_clip_only,ensemble_no_norm_sum,v2_v4_adqa_delta
0,tier0_cross,0,0.0883679883029392,0.0871333619732085,0.0865654482816656,0.0941344011161062,0.0,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0941344011161062,0.0941344011161062,0.2
0,tier1_vatex_short,1,0.2449236470314721,0.2477790164998196,0.2418647892773151,0.2455333901776207,0.3333333333333333,0.5,0.1,0.5,0.6666666666666666,0.6666666666666666,1.0,1.0,0.75,1.0,0.8333333333333333,0.8333333333333333,0.875,0.3333333333333333,0.2455333901776207,0.578866723510954,-0.2333333333333333
0,tier2_vatex_long,2,0.183292148634207,0.1817715584144456,0.1852338624497254,0.1910945243305629,0.16666666666666666,0.25,0.1,0.3031642583289374,0.3333333333333333,0.3333333333333333,0.6404278114106898,0.6063285166578748,0.5,0.5,0.48688057237201154,0.48688057237201154,0.5,0.16666666666666666,0.1910945243305629,0.3577611909972296,-0.06666666666666665
0,tier3_va11y,3,0.2215056437291584,0.2264152230523467,0.2192670193811257,0.2244109925296571,0.5,0.75,0.2,0.9252086973651956,1.0,1.0,0.8604852134159139,0.8504173947303914,1.0,0.75,0.930242606707957,0.930242606707957,0.875,0.5,0.2244109925296571,0.7244109925296571,-0.3
1,tier0_cross,0,0.0943041410364665,0.0983595948272381,0.0796914010619123,0.0924091430173979,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0924091430173979,0.0924091430173979,0.0
1,tier1_vatex_short,1,0.2178523897268295,0.218956494602766,0.2143332200745741,0.2157943530215157,0.13636363636363635,0.16666666666666666,0.1,0.3971305356670243,0.14285714285714285,0.16666666666666666,0.676291590703866,0.6831499602229375,0.5,0.5,0.4095743667805044,0.4214791286852663,0.5,0.13636363636363635,0.2157943530215157,0.3521579893851521,-0.03636363636363635
1,tier2_vatex_long,2,0.2332874311233949,0.2315038784824577,0.2388844626645247,0.2423654446999232,0.5909090909090909,0.6666666666666666,0.5,0.662026158879857,0.6190476190476191,0.6666666666666666,0.8219314599988061,0.7684967622041584,0.75,0.75,0.7204895395232126,0.7442990633327364,0.75,0.5909090909090909,0.2423654446999232,0.8332745356090141,-0.09090909090909094
1,tier3_va11y,3,0.2751549876793391,0.2765690776604492,0.2706324122846126,0.2748529464006424,0.9545454545454546,1.0,0.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9545454545454546,0.2748529464006424,1.229398400946097,-0.054545454545454564
3,tier0_cross,0,0.0705004179598472,0.0659167543053627,0.0725141568109393,0.0747132909794648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0747132909794648,0.0747132909794648,0.0
3,tier1_vatex_short,1,0.258380104660823,0.2563500006993611,0.259676069021225,0.2620121406184302,0.5,0.5,0.1,0.542803407569859,0.6470588235294118,0.6,0.8785605081132934,0.8856068151397181,0.5,0.5,0.7628096658213526,0.7392802540566468,0.5,0.5,0.2620121406184302,0.7620121406184301,-0.4
3,tier2_vatex_long,2,0.2735695332534962,0.2740102112293243,0.2741825108726819,0.277018666267395,0.7727272727272727,0.8333333333333334,0.3,0.7786025450816196,1.0,1.0,0.9489514412374598,0.9572050901632393,0.875,0.75,0.9744757206187299,0.9744757206187299,0.8125,0.7727272727272727,0.277018666267395,1.0497459389946677,-0.4727272727272727
3,tier3_va11y,3,0.2826483864365068,0.2792262236277262,0.2846048697829246,0.2879016233815087,0.7727272727272727,0.8333333333333334,0.5,1.0,1.0,1.0,1.0,1.0,0.875,1.0,1.0,1.0,0.9375,0.7727272727272727,0.2879016233815087,1.0606288961087813,-0.2727272727272727
4,tier0_cross,0,0.0459422123059406,0.0487606900164502,0.0390895435586571,0.0491151598592599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0491151598592599,0.0491151598592599,0.0
4,tier1_vatex_short,1,0.2743568552929199,0.2764042480490954,0.2688308248917262,0.2773583564493391,0.5,0.75,0.4,0.6779486262145784,0.6428571428571428,0.75,0.8600401518365812,0.8558972524291567,0.625,0.5,0.751448647346862,0.8050200759182906,0.5625,0.5,0.2773583564493391,0.7773583564493391,-0.09999999999999998
4,tier2_vatex_long,2,0.3128137816896563,0.3133509917540041,0.3102276225884756,0.3145018352402581,0.5,0.75,0.4,0.75,0.6428571428571428,0.75,1.0,1.0,0.625,1.0,0.8214285714285714,0.875,0.8125,0.5,0.3145018352402581,0.8145018352402581,-0.09999999999999998
4,tier3_va11y,3,0.277314855049345,0.2791647675131926,0.2729678710301717,0.2815400560696919,0.7777777777777778,1.0,0.8,0.9334906173739512,1.0,1.0,0.8757971585301141,0.8669812347479027,1.0,0.75,0.937898579265057,0.937898579265057,0.875,0.7777777777777778,0.2815400560696919,1.0593178338474698,0.022222222222222254
5,tier0_cross,0,0.0346886033597574,0.0346886033597574,0.0357692528826495,0.0395629592239856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0395629592239856,0.0395629592239856,0.0
5,tier1_vatex_short,1,0.2728793614033037,0.2728793614033037,0.2731368492046992,0.2746855517228444,0.3333333333333333,0.5,0.4,0.654283724357895,0.375,0.5,0.7981889297255255,0.80856744871579,0.5,0.5,0.5865944648627628,0.6490944648627628,0.5,0.3333333333333333,0.2746855517228444,0.6080188850561777,0.06666666666666671
5,tier2_vatex_long,2,0.2925696768533395,0.2925696768533395,0.2928292279442152,0.29652781618966,0.7777777777777778,1.0,0.8,0.9377043076303448,0.8750000000000001,1.0,0.8723385616782016,0.8754086152606896,0.75,0.75,0.8736692808391009,0.9361692808391008,0.75,0.7777777777777778,0.29652781618966,1.0743055939674377,0.022222222222222254
5,tier3_va11y,3,0.329272262919456,0.329272262919456,0.3302198226253192,0.3341330587863922,0.8888888888888888,1.0,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.3341330587863922,1.223021947675281,-0.0888888888888888
6,tier0_cross,0,0.0674954413093687,0.066409113506476,0.0701933155457178,0.0715448467267884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0715448467267884,0.0715448467267884,0.0
6,tier1_vatex_short,1,0.264067840571134,0.2650264898935954,0.264129213988781,0.2651810546716054,0.2727272727272727,0.3333333333333333,0.1,0.625,0.3157894736842105,0.3333333333333333,1.0,1.0,0.625,1.0,0.6578947368421053,0.6666666666666666,0.8125,0.2727272727272727,0.2651810546716054,0.5379083273988781,-0.1727272727272727
6,tier2_vatex_long,2,0.2438119444652534,0.2444631904363632,0.2446236728380124,0.2463179959191216,0.2727272727272727,0.3333333333333333,0.2,0.698477262876293,0.3157894736842105,0.3333333333333333,0.9025850642672187,0.8969545257525859,0.625,0.5,0.6091872689757146,0.617959198800276,0.5625,0.2727272727272727,0.2463179959191216,0.5190452686463943,-0.0727272727272727
6,tier3_va11y,3,0.2514952694248468,0.2544966737429301,0.2515038953473171,0.2555730260080762,0.8636363636363636,1.0,0.4,0.9680205074733178,1.0,1.0,0.9503810327339847,0.9360410149466356,1.0,0.75,0.9751905163669923,0.9751905163669923,0.875,0.8636363636363636,0.2555730260080762,1.11920938964444,-0.4636363636363636
7,tier0_cross,0,0.1274089482281424,0.1259989738464355,0.1270250001301368,0.1285013324684567,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.13636363636363635,0.1285013324684567,0.2648649688320931,-0.13636363636363635
7,tier1_vatex_short,1,0.2274338349068251,0.2233985513448715,0.2332840810219446,0.236579257580969,0.3181818181818182,0.3333333333333333,0.1,0.5288237227577454,1.0,1.0,0.887204896495971,0.8076474455154907,0.75,0.5,0.9436024482479854,0.9436024482479854,0.625,0.3181818181818182,0.236579257580969,0.5547610757627872,-0.21818181818181817
7,tier2_vatex_long,2,0.2380843721215295,0.2388292551040649,0.241222915550073,0.2444945077101389,0.3181818181818182,0.3333333333333333,0.1,0.5718224176848196,1.0,1.0,0.9521806874752973,0.8936448353696391,0.75,0.75,0.9760903437376487,0.9760903437376487,0.75,0.3181818181818182,0.2444945077101389,0.562676325891957,-0.21818181818181817
7,tier3_va11y,3,0.2512561630420772,0.2561525106430053,0.248201838384072,0.2503197822305891,0.3181818181818182,0.3333333333333333,0.4,1.0,1.0,1.0,1.0,1.0,0.75,1.0,1.0,1.0,0.875,0.3181818181818182,0.2503197822305891,0.5685016004124073,0.08181818181818185
8,tier0_cross,0,0.1605091188833739,0.153877457975375,0.1670905904223521,0.1780231528811984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.1780231528811984,0.1780231528811984,0.0
8,tier1_vatex_short,1,0.2166282075909037,0.2038458510083371,0.2298291909197966,0.2433867934677336,0.45454545454545453,0.5,0.1,0.2951836109271824,0.5882352941176471,0.6,0.6401622312894482,0.46536722185436485,0.625,0.5,0.6141987627035477,0.6200811156447241,0.5625,0.45454545454545453,0.2433867934677336,0.6979322480131881,-0.3545454545454545
8,tier2_vatex_long,2,0.2431743449712016,0.2473990710981264,0.2375928126275539,0.2436750878890355,0.45454545454545453,0.5,0.4,0.5927504570587732,0.5882352941176471,0.6,0.6429857459889483,0.6855009141175462,0.625,0.75,0.6156105200532977,0.6214928729944742,0.6875,0.45454545454545453,0.2436750878890355,0.69822054243449,-0.05454545454545451
8,tier3_va11y,3,0.2811000975172152,0.2940841299420396,0.2651713875432809,0.280127959118949,0.7727272727272727,0.8333333333333334,0.8,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7727272727272727,0.280127959118949,1.0528552318462217,0.027272727272727337
9,tier0_cross,0,0.1224924704809382,0.1224924704809382,0.1214205076297124,0.1258485698037677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.1258485698037677,0.1258485698037677,0.0
9,tier1_vatex_short,1,0.2495917408314597,0.2495917408314597,0.249718335767587,0.2525623937447865,0.5555555555555556,0.75,0.4,0.6140297303215747,0.7692307692307693,0.75,0.7692382387594776,0.783615016198705,0.625,0.5,0.7692345039951234,0.7596191193797388,0.5625,0.5555555555555556,0.2525623937447865,0.8081179493003421,-0.15555555555555556
9,tier2_vatex_long,2,0.2557301751749796,0.2557301751749796,0.256265040487051,0.2597168534994126,0.5555555555555556,0.75,0.7,0.7996192803150546,0.7692307692307693,0.75,0.8126706271900077,0.8214607828523315,0.625,0.75,0.7909506982103884,0.7813353135950039,0.6875,0.5555555555555556,0.2597168534994126,0.8152724090549681,0.14444444444444438
